"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".remove_reason",".matched_county",".county_match"
"Community AlphaLink Medical Centre",-0.5586212,34.743631,"Level 2","Homa Bay","Rachuonyo South","South Kasipul","open","Medical Clinic","Private",8062,"CSV county does not match spatial county","Kisii",FALSE
"Curafa Medical Clinic",-1.2075754,36.6937997,"Level 2","Machakos","Kathiani","Lower Kaewa/Kaani","open","Medical Center","Private",8109,"CSV county does not match spatial county","Kiambu",FALSE
"The Gyno Solutions Center Limited",-1.292066,36.821946,"Level 3","Kiambu","Kiambu Town","Township","open","Hospital","Private",8193,"CSV county does not match spatial county","Nairobi",FALSE
"Victory Medical Center",-0.4307897,37.3090275,"Level 2","Nairobi","Embakasi West","Umoja I","open","Medical Center","Private",8200,"CSV county does not match spatial county","Kirinyaga",FALSE
"Riverside Medicare Centre",-1.2219294,36.7800769,"Level 3","Kiambu","Kiambaa","Kihara","open","Medical Center","Private",8209,"CSV county does not match spatial county","Nairobi",FALSE
"Githunguri Medical Clinic",-1.2835079,36.9901729,"Level 2","Nairobi","Embakasi East","Utawala","open","Medical Center","Private",8220,"CSV county does not match spatial county","Machakos",FALSE
"Alphil Medical Centre Limited",0.271689,36.3166944,"Level 2","Baringo","Marigat","Mochongoi","open","Medical Center","Private",8371,"CSV county does not match spatial county","Laikipia",FALSE
"Kalu Medical Clinic",-0.9718707,34.6762661,"Level 2","Kisii","South Mugirango","Borabu/Chitago","open","Medical Center","Private",8393,"CSV county does not match spatial county","Narok",FALSE
"Thayu Medical Clinic",-0.4208889,36.5868146,"Level 2","Nakuru","Nakuru North","Bahati","open","Medical Clinic","Private",8460,"CSV county does not match spatial county","Nyandarua",FALSE
"AAR Healthcare Services Syokimau Outpatient Centre",-1.3572291,36.9081318,"Level 3","Machakos","Athi River","Syokimau/Mulolongo","open","Medical Center","Private",8679,"CSV county does not match spatial county","Nairobi",FALSE
"Equity Afia Githurai",-1.20382,36.9157359,"Level 3","Nairobi","Roysambu","Githurai","open","Medical Center","Private",8732,"CSV county does not match spatial county","Kiambu",FALSE
"Riosiri Centre Medical Clinic-Rongo",-0.7697726,34.6250754,"Level 2","Migori","Rongo","Central Kamagambo","open","Medical Clinic","Private",8820,"CSV county does not match spatial county","Kisii",FALSE
"Canspi Hospital Ruaka",-1.2093354,36.7875691,"Level 2","Kiambu","Kiambaa","Ndenderu","open","Medical Center","Private",8827,"CSV county does not match spatial county","Nairobi",FALSE
