"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Mutiluni Dispensary",-1.8024048,37.3224047,"Level 2","Makueni","Kilome","Mukaa","open","Dispensary","Government/Public Entity",1391,"Makueni",TRUE
"Mutindwa Dispensary",-0.2426657,37.60165,"Level 2","Tharaka Nithi","Mwimbi","Chogoria","open","Dispensary","Government/Public Entity",1392,"Tharaka Nithi",TRUE
"Mutionjuri Health Centre",0.1744773,37.748363,"Level 3","Meru","Tigania West","Kianjai","open","Health Center","Government/Public Entity",1393,"Meru",TRUE
"Mutito Catholic Health Centre",-1.2308061,38.1995762,"Level 2","Kitui","Kitui East","Mutitu/Kaliku","open","Health Center","Faith Based",1394,"Kitui",TRUE
"Mutitu Dispensary",-1.4280299,37.2918937,"Level 2","Machakos","Kathiani","Kathiani Central","open","Health Center","Government/Public Entity",1395,"Machakos",TRUE
"Mutukya Dispensary",-1.3435249,38.1225974,"Level 2","Kitui","Kitui Central","Miambani","open","Dispensary","Government/Public Entity",1396,"Kitui",TRUE
"Mutyangome Dispensary",-0.9581993,38.3329562,"Level 2","Kitui","Mwingi Central","Nuu","open","Dispensary","Government/Public Entity",1397,"Kitui",TRUE
"Muumandu Health Center",-1.6604503,37.2850988,"Level 3","Machakos","Kalama","Kola","open","Health Center","Government/Public Entity",1398,"Machakos",TRUE
"Muusini Dispensary",-1.4258014,37.3710671,"Level 2","Machakos","Mwala","Masii","open","Dispensary","Government/Public Entity",1399,"Machakos",TRUE
"Muutine Med Clinic",0.2949144,37.9012376,"Level 2","Meru","Igembe Central","Njia","open","Medical Clinic","Private",1400,"Meru",TRUE
"Muutiokiama Health Centre",-0.1259665,37.6941965,"Level 3","Meru","Imenti South","Abogeta East","open","Health Center","Government/Public Entity",1401,"Meru",TRUE
